C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
01;Animais vivos.;01/04/2022;31/12/9999;Res Camex;272;2021
01.01;Cavalos, asininos e muares, vivos.;01/04/2022;31/12/9999;Res Camex;272;2021
0101.2;- Cavalos:;01/04/2022;31/12/9999;Res Camex;272;2021
0101.21.00;-- Reprodutores de raáa pura;01/04/2022;31/12/9999;Res Camex;272;2021
0101.29.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0101.30.00;- Asininos;01/04/2022;31/12/9999;Res Camex;272;2021
0101.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
01.02;Animais vivos da espÇcie bovina.;01/04/2022;31/12/9999;Res Camex;272;2021
0102.2;- Bovinos domÇsticos:;01/04/2022;31/12/9999;Res Camex;272;2021
0102.21;-- Reprodutores de raáa pura;01/04/2022;31/12/9999;Res Camex;272;2021
0102.21.10;Prenhes ou com cria ao pÇ;01/04/2022;31/12/9999;Res Camex;272;2021
0102.21.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.29;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.29.1;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0102.29.11;Prenhes ou com cria ao pÇ;01/04/2022;31/12/9999;Res Camex;272;2021
0102.29.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.29.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.3;- B£falos:;01/04/2022;31/12/9999;Res Camex;272;2021
0102.31;-- Reprodutores de raáa pura;01/04/2022;31/12/9999;Res Camex;272;2021
0102.31.10;Prenhes ou com cria ao pÇ;01/04/2022;31/12/9999;Res Camex;272;2021
0102.31.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.39;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.39.1;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0102.39.11;Prenhes ou com cria ao pÇ;01/04/2022;31/12/9999;Res Camex;272;2021
0102.39.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.39.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0102.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
01.03;Animais vivos da espÇcie su°na.;01/04/2022;31/12/9999;Res Camex;272;2021
0103.10.00;- Reprodutores de raáa pura;01/04/2022;31/12/9999;Res Camex;272;2021
0103.9;- Outros:;01/04/2022;31/12/9999;Res Camex;272;2021
0103.91.00;-- De peso inferior a 50ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
0103.92.00;-- De peso igual ou superior a 50ˇkg;01/04/2022;31/12/9999;Res Camex;272;2021
01.04;Animais vivos das espÇcies ovina e caprina.;01/04/2022;31/12/9999;Res Camex;272;2021
0104.10;- Ovinos;01/04/2022;31/12/9999;Res Camex;272;2021
0104.10.1;Reprodutores de raáa pura;01/04/2022;31/12/9999;Res Camex;272;2021
0104.10.11;Prenhes ou com cria ao pÇ;01/04/2022;31/12/9999;Res Camex;272;2021
0104.10.19;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0104.10.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0104.20;- Caprinos;01/04/2022;31/12/9999;Res Camex;272;2021
0104.20.10;Reprodutores de raáa pura;01/04/2022;31/12/9999;Res Camex;272;2021
0104.20.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
01.05;Aves da espÇcie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espÇcies domÇsticas, vivos.;01/04/2022;31/12/9999;Res Camex;272;2021
0105.1;- De peso n∆o superior a 185ˇg:;01/04/2022;31/12/9999;Res Camex;272;2021
0105.11;-- Aves da espÇcie Gallus domesticus;01/04/2022;31/12/9999;Res Camex;272;2021
0105.11.10;De linhas puras ou h°bridas, para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0105.11.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0105.12.00;-- Peruas e perus;01/04/2022;31/12/9999;Res Camex;272;2021
0105.13.00;-- Patos;01/04/2022;31/12/9999;Res Camex;272;2021
0105.14.00;-- Gansos;01/04/2022;31/12/9999;Res Camex;272;2021
0105.15.00;-- Galinhas-d'angola (pintadas);01/04/2022;31/12/9999;Res Camex;272;2021
0105.9;- Outros:;01/04/2022;31/12/9999;Res Camex;272;2021
0105.94.00;-- Aves da espÇcie Gallus domesticus;01/04/2022;31/12/9999;Res Camex;272;2021
0105.99.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
01.06;Outros animais vivos.;01/04/2022;31/12/9999;Res Camex;272;2021
0106.1;- Mam°feros:;01/04/2022;31/12/9999;Res Camex;272;2021
0106.11.00;-- Primatas;01/04/2022;31/12/9999;Res Camex;272;2021
0106.12.00;"-- Baleias, golfinhos e botos (mam°feros da ordem Cetacea); peixes-boi (manatins) e dugongos (mam°feros da ordem Sirenia); ot†rias e focas, le‰es-marinhos e morsas (mam°feros da subordem Pinnipedia)";01/04/2022;31/12/9999;Res Camex;272;2021
0106.13.00;-- Camelos e outros camel°deos (Camelidae);01/04/2022;31/12/9999;Res Camex;272;2021
0106.14.00;-- Coelhos e lebres;01/04/2022;31/12/9999;Res Camex;272;2021
0106.19.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0106.20.00;- RÇpteis (incluindo as serpentes e as tartarugas marinhas);01/04/2022;31/12/9999;Res Camex;272;2021
0106.3;- Aves:;01/04/2022;31/12/9999;Res Camex;272;2021
0106.31.00;-- Aves de rapina;01/04/2022;31/12/9999;Res Camex;272;2021
0106.32.00;-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas);01/04/2022;31/12/9999;Res Camex;272;2021
0106.33;"-- Avestruzes; emus (Dromaius novaehollandiae)";01/04/2022;31/12/9999;Res Camex;272;2021
0106.33.10;Avestruzes (Struthio camelus), para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0106.33.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0106.39.00;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0106.4;- Insetos:;01/04/2022;31/12/9999;Res Camex;272;2021
0106.41.00;-- Abelhas;01/04/2022;31/12/9999;Res Camex;272;2021
0106.49.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0106.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
02;Carnes e miudezas, comest°veis.;01/04/2022;31/12/9999;Res Camex;272;2021
02.01;Carnes de animais da espÇcie bovina, frescas ou refrigeradas.;01/04/2022;31/12/9999;Res Camex;272;2021
0201.10.00;- Carcaáas e meias-carcaáas;01/04/2022;31/12/9999;Res Camex;272;2021
0201.20;- Outras peáas n∆o desossadas;01/04/2022;31/12/9999;Res Camex;272;2021
0201.20.10;Quartos dianteiros;01/04/2022;31/12/9999;Res Camex;272;2021
0201.20.20;Quartos traseiros;01/04/2022;31/12/9999;Res Camex;272;2021
0201.20.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0201.30.00;- Desossadas;01/04/2022;31/12/9999;Res Camex;272;2021
02.02;Carnes de animais da espÇcie bovina, congeladas.;01/04/2022;31/12/9999;Res Camex;272;2021
0202.10.00;- Carcaáas e meias-carcaáas;01/04/2022;31/12/9999;Res Camex;272;2021
0202.20;- Outras peáas n∆o desossadas;01/04/2022;31/12/9999;Res Camex;272;2021
0202.20.10;Quartos dianteiros;01/04/2022;31/12/9999;Res Camex;272;2021
0202.20.20;Quartos traseiros;01/04/2022;31/12/9999;Res Camex;272;2021
0202.20.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0202.30.00;- Desossadas;01/04/2022;31/12/9999;Res Camex;272;2021
02.03;Carnes de animais da espÇcie su°na, frescas, refrigeradas ou congeladas.;01/04/2022;31/12/9999;Res Camex;272;2021
0203.1;- Frescas ou refrigeradas:;01/04/2022;31/12/9999;Res Camex;272;2021
0203.11.00;-- Carcaáas e meias-carcaáas;01/04/2022;31/12/9999;Res Camex;272;2021
0203.12.00;-- Pernas, p†s e respectivos pedaáos, n∆o desossados;01/04/2022;31/12/9999;Res Camex;272;2021
0203.19.00;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0203.2;- Congeladas:;01/04/2022;31/12/9999;Res Camex;272;2021
0203.21.00;-- Carcaáas e meias-carcaáas;01/04/2022;31/12/9999;Res Camex;272;2021
0203.22.00;-- Pernas, p†s e respectivos pedaáos, n∆o desossados;01/04/2022;31/12/9999;Res Camex;272;2021
0203.29.00;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
02.04;Carnes de animais das espÇcies ovina ou caprina, frescas, refrigeradas ou congeladas.;01/04/2022;31/12/9999;Res Camex;272;2021
0204.10.00;- Carcaáas e meias-carcaáas de cordeiro, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0204.2;- Outras carnes de animais da espÇcie ovina, frescas ou refrigeradas:;01/04/2022;31/12/9999;Res Camex;272;2021
0204.21.00;-- Carcaáas e meias-carcaáas;01/04/2022;31/12/9999;Res Camex;272;2021
0204.22.00;-- Outras peáas n∆o desossadas;01/04/2022;31/12/9999;Res Camex;272;2021
0204.23.00;-- Desossadas;01/04/2022;31/12/9999;Res Camex;272;2021
0204.30.00;- Carcaáas e meias-carcaáas de cordeiro, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
0204.4;- Outras carnes de animais da espÇcie ovina, congeladas:;01/04/2022;31/12/9999;Res Camex;272;2021
